,postcode,longitude,latitude,F_S
0,W5 2SX,-0.3125733,51.51333229999999,S
0,W5 2SZ,-0.3108248,51.51345999999999,S
0,W5 2SZ,-0.3108248,51.51345999999999,S
0,W5 2SY,-0.3116931,51.5137513,S
0,W5 2SY,-0.3116931,51.5137513,S
0,W5 2SX,-0.3125733,51.51333229999999,S
0,W5 2SX,-0.3125733,51.51333229999999,S
0,W5 2SZ,-0.3108248,51.51345999999999,S
0,W5 2SX,-0.3125733,51.51333229999999,S
0,W5 2SX,-0.3125733,51.51333229999999,S
0,W5 2SZ,-0.3108248,51.51345999999999,S
0,W5 2SY,-0.3116931,51.5137513,S
0,W5 2SY,-0.3116931,51.5137513,S
0,W5 2SY,-0.3116931,51.5137513,S
0,W5 2SY,-0.3116931,51.5137513,S
0,W5 2SZ,-0.3108248,51.51345999999999,S
0,W5 2SX,-0.3125733,51.51333229999999,S
0,W5 2SY,-0.3116931,51.5137513,S
0,W5 2SY,-0.3116931,51.5137513,S
0,W5 2SY,-0.3116931,51.5137513,S
0,W5 2SY,-0.3116931,51.5137513,S
0,W5 2SY,-0.3116931,51.5137513,S
0,W5 2SX,-0.3125733,51.51333229999999,S
0,W5 2SY,-0.3116931,51.5137513,S
0,W5 2SY,-0.3116931,51.5137513,S
0,W5 2SY,-0.3116931,51.5137513,S
0,W5 2SY,-0.3116931,51.5137513,S
0,W5 2SY,-0.3116931,51.5137513,S
0,W5 2SY,-0.3116931,51.5137513,S
0,W5 2SX,-0.3125733,51.51333229999999,S
0,W5 2SY,-0.3116931,51.5137513,S
0,W5 2SX,-0.3125733,51.51333229999999,S
